"hed__School_Code__c","hed__Primary_Contact__c"
"12437862","003VA00000JjnXuYAJ"
"12437858","003VA00000JjnXxYAJ"
"12437857","003VA00000J8x49YAB"
"12437853","003VA00000JfooaYAB"
"12437851","003VA00000JfoocYAB"
"12437850","003VA00000J8x4CYAR"
"12437847","003VA00000J8x4EYAR"
"12437832","003VA00000J8x4FYAR"
"12437830","003VA00000J8x4GYAR"
"12437824","003VA00000J8x4HYAR"
"12437823","003VA00000JfonzYAB"
"12437807","003VA00000J8x44YAB"
"12437805","003VA00000J8x42YAB"
"12437804","003VA00000J8x43YAB"
"12437753","003VA00000J8x3ZYAR"
"12437714","003VA00000J8x3dYAB"
"12437713","003VA00000J8x3cYAB"
"12437701","003VA00000J8x3eYAB"
"12437670","003VA00000J8x3VYAR"
"12437653","003VA00000J8x3XYAR"
"12437649","003VA00000J8x3YYAR"
"12437631","003VA00000Jfon1YAB"
"12437578","003VA00000J8x3qYAB"
"12437577","003VA00000J8x3pYAB"
"12437572","003VA00000J8x3rYAB"
"12437571","003VA00000J8x3sYAB"
"12437570","003VA00000J8x3tYAB"
"12437569","003VA00000JfonDYAR"
"12437557","003VA00000J8x3fYAB"
"12437556","003VA00000J8x3gYAB"
"12437555","003VA00000J8x3hYAB"
"12437554","003VA00000J8x3iYAB"
"12437542","003VA00000J8x3kYAB"
"12437541","003VA00000J8x3jYAB"
"12437501","003VA00000J8x37YAB"
"12437458","003VA00000J8x3BYAR"
"12437457","003VA00000J8x39YAB"
"12437456","003VA00000J8x3AYAR"
"12437455","003VA00000J8x3EYAR"
"12437454","003VA00000J8x3FYAR"
"12437453","003VA00000J8x3CYAR"
"12437452","003VA00000J8x3DYAR"
"12437451","003VA00000J8x3IYAR"
"12437450","003VA00000J8x3JYAR"
"12437449","003VA00000J8x3GYAR"
"12437448","003VA00000J8x3HYAR"
"12437447","003VA00000J8x3KYAR"
"12437446","003VA00000JfokyYAB"
"12437423","003VA00000J8x34YAB"
"12437418","003VA00000JfokPYAR"
"12437417","003VA00000JfokOYAR"
"12437381","003VA00000J8x35YAB"
"12437379","003VA00000J8x36YAB"
"12437373","003VA00000J8x3RYAR"
"12437361","003VA00000J8x3SYAR"
"12437290","003VA00000J8x3MYAR"
"12437280","003VA00000J8x3NYAR"
"12437274","003VA00000J8x3OYAR"
"12437262","003VA00000J8x3PYAR"
"12437258","003VA00000J8x3QYAR"
"12437203","003VA00000J8x2sYAB"
"12437202","003VA00000J8x2tYAB"
"12437187","003VA00000J8x2uYAB"
"12437179","003VA00000J8x2pYAB"
"12437134","003VA00000J8x2qYAB"
"12437129","003VA00000JjNMBYA3"
"12437115","003VA00000J8x2yYAB"
"12437113","003VA00000JfojiYAB"
"12437091","003VA00000J8x30YAB"
"12437090","003VA00000JfojxYAB"
"12437088","003VA00000J8x2zYAB"
"12437087","003VA00000J8x31YAB"
"12437086","003VA00000Jfok2YAB"
"12437085","003VA00000JfojzYAB"
"12437084","003VA00000Jfok0YAB"
"12437083","003VA00000Jfok3YAB"
"12437067","003VA00000J8x32YAB"
"12437060","003VA00000J8x33YAB"
"12436943","003VA00000J8x2SYAR"
"12436942","003VA00000J8x2TYAR"
"12436931","003VA00000JfogCYAR"
"12436930","003VA00000JfogDYAR"
"12436929","003VA00000JfogAYAR"
"12436928","003VA00000J8x2VYAR"
"12436917","003VA00000J8x25YAB"
"12436916","003VA00000J8x26YAB"
"12436915","003VA00000J8x27YAB"
"12436914","003VA00000J8x28YAB"
"12436911","003VA00000J8x2AYAR"
"12436910","003VA00000JfofaYAB"
"12436909","003VA00000J8x29YAB"
"12436902","003VA00000J8x2DYAR"
"12436901","003VA00000J8x2BYAR"
"12436900","003VA00000J8x2CYAR"
"12436899","003VA00000J8x2FYAR"
"12436897","003VA00000J8x2EYAR"
"12436894","003VA00000J8x2GYAR"
"12436890","003VA00000J8x2IYAR"
"12436888","003VA00000J8x2HYAR"
"12436886","003VA00000J8x2KYAR"
"12436882","003VA00000J8x2MYAR"
"12436881","003VA00000J8x2LYAR"
"12436878","003VA00000J8x2NYAR"
"12436871","003VA00000J8x2PYAR"
"12436868","003VA00000J8x2OYAR"
"12436866","003VA00000J8x2RYAR"
"12436865","003VA00000J8x2QYAR"
"12436863","003VA00000J8x2ZYAR"
"12436860","003VA00000J8x2YYAR"
"12436859","003VA00000J8x2bYAB"
"12436851","003VA00000J8x2eYAB"
"12436850","003VA00000J8x2fYAB"
"12436848","003VA00000J8x2dYAB"
"12436843","003VA00000J8x2hYAB"
"12436832","003VA00000J8x2jYAB"
"12436831","003VA00000J8x2kYAB"
"12436827","003VA00000J8x2mYAB"
"12436825","003VA00000J8x2lYAB"
"12436817","003VA00000J8x2oYAB"
"12436734","003VA00000J8x1VYAR"
"12436733","003VA00000J8x1UYAR"
"12436729","003VA00000J8x1XYAR"
"12436727","003VA00000J8x1aYAB"
"12436726","003VA00000J8x1bYAB"
"12436725","003VA00000J8x1YYAR"
"12436724","003VA00000J8x1ZYAR"
"12436722","003VA00000J8x1eYAB"
"12436720","003VA00000J8x1cYAB"
"12436706","003VA00000J8x1gYAB"
"12436705","003VA00000JfoeOYAR"
"12436649","003VA00000J8x1QYAR"
"12436648","003VA00000J8x1RYAR"
"12436623","003VA00000J8x1TYAR"
"12436621","003VA00000J8x1SYAR"
"12436605","003VA00000J8x1wYAB"
"12436604","003VA00000J8x1xYAB"
"12436603","003VA00000J8x1yYAB"
"12436602","003VA00000J8x1zYAB"
"12436587","003VA00000J8x20YAB"
"12436546","003VA00000J8x24YAB"
"12436545","003VA00000J8x23YAB"
"12436543","003VA00000J8x1hYAB"
"12436528","003VA00000J8x1iYAB"
"12436520","003VA00000J8x1jYAB"
"12436518","003VA00000J8x1kYAB"
"12436514","003VA00000J8x1mYAB"
"12436512","003VA00000J8x1lYAB"
"12436511","003VA00000J8x1pYAB"
"12436510","003VA00000J8x1qYAB"
"12436509","003VA00000J8x1nYAB"
"12436508","003VA00000J8x1oYAB"
"12436506","003VA00000J8x1sYAB"
"12436505","003VA00000JfoenYAB"
"12436504","003VA00000J8x1rYAB"
"12436498","003VA00000J8x1uYAB"
"12436496","003VA00000J8x1tYAB"
"12436492","003VA00000J8x1vYAB"
"12436471","003VA00000J8x14YAB"
"12436467","003VA00000J8x15YAB"
"12436447","003VA00000J8x16YAB"
"12436421","003VA00000J8x17YAB"
"12436420","003VA00000J8x18YAB"
"12436415","003VA00000J8x0sYAB"
"12436405","003VA00000JaBMTYA3"
"12436397","003VA00000JfoafYAB"
"12436396","003VA00000JfoagYAB"
"12436378","003VA00000J8x0uYAB"
"12436370","003VA00000J8x0xYAB"
"12436369","003VA00000J8x0vYAB"
"12436368","003VA00000JfoaqYAB"
"12436365","003VA00000J8x0yYAB"
"12436356","003VA00000J8x10YAB"
"12436355","003VA00000J8x12YAB"
"12436354","003VA00000J8x13YAB"
"12436351","003VA00000J8x1EYAR"
"12436350","003VA00000J8x1FYAR"
"12436342","003VA00000J8x1IYAR"
"12436341","003VA00000J8x1HYAR"
"12436339","003VA00000J8x1JYAR"
"12436338","003VA00000J8x1KYAR"
"12436334","003VA00000J8x1MYAR"
"12436333","003VA00000J8x1LYAR"
"12436331","003VA00000J8x1OYAR"
"12436328","003VA00000J8x1NYAR"
"12436278","003VA00000J8x1AYAR"
"12436236","003VA00000JfobfYAB"
"12436235","003VA00000J8x1DYAR"
"12436234","003VA00000JfobhYAB"
"12436220","003VA00000J89MMYAZ"
"12436219","003VA00000J89MPYAZ"
"12436218","003VA00000J89MQYAZ"
"12436217","003VA00000J89MOYAZ"
"12436214","003VA00000J89MSYAZ"
"12436212","003VA00000J89MRYAZ"
"12436210","003VA00000J89MVYAZ"
"12436209","003VA00000J89MTYAZ"
"12436208","003VA00000J89MUYAZ"
"12436206","003VA00000J8wzyYAB"
"12436205","003VA00000J89MWYAZ"
"12436204","003VA00000J8wzxYAB"
"12436202","003VA00000J8x01YAB"
"12436201","003VA00000J8wzzYAB"
"12436200","003VA00000J8x00YAB"
"12436191","003VA00000J8x02YAB"
"12436190","003VA00000J8x03YAB"
"12436187","003VA00000J8x05YAB"
"12436186","003VA00000J8x06YAB"
"12436184","003VA00000J8x04YAB"
"12436183","003VA00000J8x08YAB"
"12436182","003VA00000J8x09YAB"
"12436180","003VA00000J8x07YAB"
"12436172","003VA00000J8x0AYAR"
"12436166","003VA00000J8x0DYAR"
